top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
1,0,1,1,0,1,2,2,1,0,0,0,2,0,2,0,5,0,5,0,98,0,98,490,0,945,5,0,5,0
1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,6,5,2,1,108,98,9,513,945,19,6,5,1,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,4,4,0,0,22,22,0,216,216,0,1,1,0,0
1,1,0,8,8,1,1,0,0,8,8,0,9,9,1,1,31,17,15,1,199,183,17,3080,4854,3859,50,37,13,1
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,15,15,0,0,104,104,0,646,1487,0,13,13,0,0
0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,3,1,2,0,3,1,2,381,147,842,7,1,6,0
0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,7,4,3,0,13,10,3,622,10,612,1,1,1,0
1,1,0,3,2,1,2,1,1,2,2,0,4,3,1,0,29,28,1,0,224,217,7,2164,3446,32,20,19,1,0
0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,10,7,3,0,22,13,9,725,622,103,2,1,1,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,14,13,1,0,89,88,1,686,876,53,5,5,1,0
1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,23,21,2,0,110,99,11,1424,1744,188,11,7,4,0
1,0,1,2,1,2,1,1,1,2,0,2,3,1,3,1,21,1,21,1,101,3,99,1359,9,1746,8,1,7,1
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,4,4,0,5,5,0,1,1,0,0
1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,3,1,2,0,12,4,8,159,5,154,3,1,2,0
1,1,0,3,2,1,2,1,1,2,2,0,4,3,1,0,28,27,1,0,196,184,12,2485,6403,159,30,29,1,0
1,0,1,1,1,1,2,1,1,0,0,0,2,1,2,1,5,3,3,1,29,21,9,271,182,162,5,2,3,1
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,3,3,0,1,1,0,0
1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,28,23,6,1,140,127,13,2138,2743,1394,20,16,4,0
1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,30,28,2,0,142,140,2,2372,4137,842,26,20,6,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,16,16,0,43,43,0,1,1,0,0
1,1,0,5,5,1,1,0,0,5,5,0,6,6,1,1,38,38,2,2,293,292,3,3954,10034,16,48,47,1,1
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,7,7,0,0,52,52,0,221,221,0,1,1,0,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,6,4,2,0,28,26,2,618,57,567,2,2,2,0
1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,24,4,23,3,205,15,191,1366,154,1958,15,1,14,1
1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,12,1,11,0,96,15,81,400,98,337,6,2,4,0
1,0,1,2,1,2,1,1,1,2,0,2,3,1,3,1,34,1,33,0,212,5,207,2439,19,4990,25,1,24,0
1,0,1,2,1,2,1,1,1,2,0,2,3,1,3,1,34,1,33,0,208,1,207,2593,173,4990,25,1,24,0
1,0,1,2,1,2,1,1,1,2,0,2,3,1,3,1,34,4,33,3,220,13,207,2484,64,4990,25,1,24,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,12,12,0,123,123,0,1,1,0,0
1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,2,1,1,0,18,12,6,148,123,25,2,1,1,0
1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,7,2,5,0,49,18,31,343,148,447,10,2,8,0
1,1,1,2,2,0,1,0,0,2,2,0,3,3,1,1,8,7,2,1,53,49,4,535,595,192,11,10,1,0
1,1,0,3,2,1,1,0,0,3,3,0,4,3,1,0,9,8,1,0,54,53,1,788,787,253,12,11,1,0
1,0,1,3,1,3,1,1,1,3,0,3,4,1,4,1,11,3,9,1,88,36,54,947,306,1038,16,4,12,1
1,0,1,3,1,3,1,1,1,3,0,3,4,1,4,1,10,1,9,0,62,8,54,798,10,1040,14,2,12,0
1,0,1,3,1,3,1,1,1,3,0,3,4,1,4,1,10,1,9,0,63,9,54,802,17,1040,14,2,12,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,2,1,1,0,33,1,32,60,1,59,2,1,1,0
0,0,0,2,2,1,1,1,0,1,1,0,2,2,1,1,2,2,1,1,35,33,2,69,60,9,3,2,1,0
0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,4,2,2,0,4,2,2,392,202,268,4,3,1,0
0,0,0,2,2,1,1,1,0,1,1,0,2,2,1,1,4,2,2,0,51,35,16,180,69,242,9,3,6,0
0,0,0,2,2,1,1,1,0,1,1,0,2,2,1,1,23,4,20,1,117,51,66,263,311,83,13,9,4,0
0,0,0,2,1,2,1,1,0,1,0,1,2,1,2,1,23,2,23,2,152,65,87,417,278,364,19,6,13,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,7,7,0,130,161,0,2,2,0,0
0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,22,0,22,71,0,71,1,0,1,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,22,22,0,71,71,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,32,32,0,390,1147,0,4,4,0,0
1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,6,2,4,0,53,32,21,642,1147,285,8,4,4,0
1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,7,6,1,0,68,67,1,970,1581,528,11,9,2,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,5,5,0,6,6,0,1,1,0,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,5,5,0,0,19,19,0,166,406,0,3,3,0,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,5,5,0,0,19,19,0,166,406,0,3,3,0,0
1,0,1,4,0,4,5,5,5,0,0,0,5,0,5,0,41,0,41,0,234,0,234,2651,0,7447,59,0,59,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,12,12,0,37,37,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,10,10,0,43,43,0,1,1,0,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,40,37,3,0,124,121,3,1777,1675,841,6,6,1,0
1,1,0,2,0,2,1,1,1,2,0,2,3,1,2,0,40,40,1,1,146,124,22,1931,2516,154,8,6,2,0
1,1,0,4,4,1,1,0,0,4,4,0,5,5,1,1,48,47,2,1,240,237,3,3537,6027,1646,29,25,4,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,4,4,0,0,59,59,0,138,138,0,4,4,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,14,14,0,155,155,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,46,46,0,92,92,0,1,1,0,0
1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,2,0,17,0,17,52,0,52,1,0,1,0
1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,2,0,71,0,71,126,0,126,1,0,1,0
1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,4,0,4,0,35,0,35,204,0,204,4,0,4,0
2,2,1,0,0,0,2,1,1,0,0,0,2,2,1,1,6,5,1,0,553,532,21,1569,1924,251,8,6,2,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,29,29,0,483,1053,0,4,4,0,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,2,2,0,1,1,0,0
1,1,0,2,1,1,2,1,1,1,1,0,3,2,1,0,42,42,2,2,464,459,5,1364,1222,265,9,6,3,0
2,2,0,5,4,1,1,0,0,6,6,0,7,6,1,0,63,63,3,3,783,756,29,5238,17777,313,45,39,6,1
2,0,2,3,1,2,1,1,1,4,0,4,5,1,4,0,50,6,45,1,732,11,724,4620,6152,5421,30,6,24,1
0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0
1,1,0,1,1,0,2,0,2,0,0,0,2,2,0,0,2,2,0,0,2,2,0,4,4,0,2,2,0,0
1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,3,2,2,1,4,2,2,8,4,4,3,2,1,0
0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,12,0,12,0,430,0,430,598,0,598,1,0,1,0
0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,13,12,1,0,439,430,9,652,598,86,3,1,2,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,29,27,2,0,72,70,2,320,109,211,2,2,1,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,60,60,0,0,405,405,0,848,860,0,8,8,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,49,49,0,183,183,0,1,1,0,0
2,2,0,7,5,2,0,0,0,9,7,2,9,7,2,0,75,72,3,0,961,958,3,2159,2114,603,24,18,6,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,2,2,0,1,1,0,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,5,5,0,0,7,7,0,41,41,0,3,3,0,0
1,1,1,1,1,0,1,1,0,1,1,0,2,2,1,1,20,19,1,0,262,261,1,1324,1258,66,8,8,1,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,4,4,0,0,10,10,0,10,10,0,2,2,0,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,39,39,0,111,111,0,1,1,0,0
1,1,1,3,3,1,1,0,0,3,3,0,4,4,2,2,37,31,6,0,347,341,6,2738,2095,693,17,13,6,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,26,23,3,0,34,31,3,683,250,433,5,4,1,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,42,42,0,1,1,0,0
0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,42,0,42,1,0,1,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,5,5,0,0,21,21,0,32,32,0,5,5,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,31,31,0,409,508,0,2,2,0,0
2,2,0,21,20,1,1,0,0,22,22,0,23,22,1,0,133,132,3,2,147,141,7,25426,431851,22,356,351,5,1
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,2,2,0,4,4,0,2,2,0,0
1,1,1,3,1,2,0,0,0,4,2,2,4,2,3,1,97,93,8,4,747,723,24,1461,1728,78,25,17,8,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
1,1,0,1,1,0,2,1,2,0,0,0,2,2,0,0,61,61,0,0,403,403,0,489,554,0,3,3,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,18,18,0,0,150,150,0,197,197,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,18,18,0,0,150,150,0,197,197,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,40,40,0,43,43,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,2,2,0,473,473,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,8,8,0,10,10,0,2,2,0,0
1,1,1,2,0,2,1,1,1,2,0,2,3,1,3,1,13,2,12,1,147,8,139,1779,10,6744,7,2,5,0
2,0,2,14,1,14,1,1,1,15,0,15,16,1,16,1,126,5,126,5,1772,18,1755,11643,127,49714,128,3,125,1
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,11,11,0,59,59,0,1,1,0,0
1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,5,2,3,0,14,11,3,62,59,3,2,1,1,0
1,0,1,2,1,1,2,1,1,1,0,1,3,1,2,0,9,4,5,0,18,4,14,1696,10592,62,9,7,2,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,48,48,0,1,1,0,0
1,1,1,2,2,0,1,0,0,2,2,0,3,3,1,1,7,6,1,0,18,17,1,144,110,34,4,3,1,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,4,4,0,0,7,7,0,491,997,0,4,4,0,0
0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,5,4,2,1,10,7,3,713,997,222,5,4,1,0
0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,5,5,1,1,12,10,2,743,1219,30,6,5,1,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,13,13,0,0,62,62,0,1481,1750,0,6,6,0,0
1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,16,13,5,2,70,61,10,1859,1786,446,9,6,3,1
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,16,16,0,43,43,0,1,1,0,0
